UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rússia no Brasil,@embaixadarussa,2022-01-05T00:37:54.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 4, 2022
Rússia organização do governo","#Russia, #China, #Britain, #USA, #France consideram a sua responsabilidade principal evitar a guerra entre Estados com armas nucleares e a reduzir os riscos estratégicos.

Texto completo da declaração conjunta no site do Presidente da Federação da Rússia: http://kremlin.ru/events/president/news/67551…",,,3,15,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FITHrjVXMAEwhU5?format=jpg&name=medium']",https://twitter.com/embaixadarussa/status/1478526134258176002
Rússia no Brasil,@embaixadarussa,2022-01-10T19:56:38.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 10, 2022
Rússia organização do governo","As conversações de segurança entre a Rússia e os EUA iniciaram hoje em Genebra. A delegação do 
@mfa_russia
 é presidida pelo Vice-ministro dos Negócios Estrangeiros Serguei #Ryabkov.",,1,,10,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/979569898799104000/CRdc_z6V_normal.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FIvw83dWYAcwH2I?format=png&name=900x900']",https://twitter.com/embaixadarussa/status/1480629677085634568
Rússia no Brasil,@embaixadarussa,2022-01-13T01:24:51.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 12, 2022
Rússia organização do governo","O kremlin da cidade antiga de Kolomna na região de Moscou de noite.
@russiabeyond",,2,3,45,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FI8fJPrXMAIzA1n?format=jpg&name=medium']",https://twitter.com/embaixadarussa/status/1481437049542660096
Rússia no Brasil,@embaixadarussa,2022-01-14T01:26:30.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 13, 2022
Rússia organização do governo","Hoje, em 13/1, comemoramos o 115o aniversário de Serguei Korolev, lendário engenheiro e construtor soviético, grande descobridor de espaço. Os projetos visionários dele abriram a porta para a exploração ilimitada na aspiração de entender a infinidade do nosso Universo.",,,3,24,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJBpHOjWQAMT_AA?format=jpg&name=small']",https://twitter.com/embaixadarussa/status/1481799853638311940
Rússia no Brasil,@embaixadarussa,2022-01-11T20:45:25.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 11, 2022
Rússia organização do governo","Em 14/01, o Centro de Imprensa do 
@MID_Russia
 sediará uma coletiva de imprensa de Serguei Lavrov sobre o trabalho da diplomacia russa em 2021.

O evento inicia às 11 h. Credenciamento até as 16 h de 12/01 (horário de Moscou). 

 https://is.gd/C9ztU9",🔗 🗓 🎙 🔗,,,5,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1574853232890941442/Wk8OX_aJ_normal.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FI0OYl5WYAAXggB?format=jpg&name=medium']",https://twitter.com/embaixadarussa/status/1481004342371094530
Rússia no Brasil,@embaixadarussa,2022-01-18T01:08:36.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 17, 2022
Rússia organização do governo","O inverno nevoso numa aldeia na região de Vologda, Rússia. 
@Krasoti_Rossii",,3,10,52,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJWLTbxX0AIV03j?format=jpg&name=small', 'https://pbs.twimg.com/media/FJWLVXdXMAUGDzE?format=jpg&name=small', 'https://pbs.twimg.com/media/FJWLWZzWQAERocD?format=jpg&name=small', 'https://pbs.twimg.com/media/FJWLYEbXIAQoHyi?format=jpg&name=small']",https://twitter.com/embaixadarussa/status/1483244901080965121
Rússia no Brasil,@embaixadarussa,2022-01-25T21:46:51.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 25, 2022
Rússia organização do governo","25/01 tem o nome de Santa Tatiana, uma mártir cristã que viveu no século III em Roma durante o reinado do imperador Alexandre Severo. Na Rússia este dia é conhecido como Dia do Estudante, comemorando a fundação da Universidade Estatal de Moscou em 1755.",,,7,22,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJ-p6vDWQAEfxGm?format=jpg&name=medium']",https://twitter.com/embaixadarussa/status/1486093232324943874
Rússia no Brasil,@embaixadarussa,2022-01-21T21:27:50.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 21, 2022
Rússia organização do governo","#Repost 
@andrian_z
...
Centro histórico de Moscou à noite. 
As fotos foram tiradas do mirante da Catedral de Cristo Salvador. 
Fotos: 
@andrian_z",,5,11,42,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJp_Lf6WQAINjdi?format=jpg&name=small', 'https://pbs.twimg.com/media/FJp_L5EXsAQ4pY2?format=jpg&name=small', 'https://pbs.twimg.com/media/FJp_MjMXwAAchGQ?format=jpg&name=small', 'https://pbs.twimg.com/media/FJp_NF-XEAMb7jS?format=jpg&name=small']",https://twitter.com/embaixadarussa/status/1484638893223858181
Rússia no Brasil,@embaixadarussa,2022-01-27T20:25:17.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 27, 2022
Rússia organização do governo","Boa noite de... Onde fica esta catedral na Rússia?

Foto: #Repost @andrey_moshkarov_ph",,4,3,27,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKIqZEZWQAgpOQo?format=jpg&name=small', 'https://pbs.twimg.com/media/FKIqaP6WUAcLQJU?format=jpg&name=small', 'https://pbs.twimg.com/media/FKIqbc5WYAIKHxt?format=jpg&name=small']",https://twitter.com/embaixadarussa/status/1486797480914268165
Rússia no Brasil,@embaixadarussa,2022-01-29T16:31:37.000Z,"Rússia no Brasil
@embaixadarussa
·
Jan 29, 2022
Rússia organização do governo","Em 29/01/1860, nasceu Anton #Chekhov - excelente escritor, médico, amante da vida e humanista.
Durante sua curta vida, ele escreveu mais de 300 obras clássicas aclamadas mundialmente.
Hoje suas peças, que permanecem altamente relevantes, são exibidas e encenadas em todo o mundo.",,1,1,23,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKSIG9PXMAUoVcF?format=jpg&name=small', 'https://pbs.twimg.com/media/FKSIHZnWUAAnEy1?format=jpg&name=small', 'https://pbs.twimg.com/media/FKSIIBDWUAEfyHu?format=jpg&name=small']",https://twitter.com/embaixadarussa/status/1487463452805316613
